stockid,stocklong,year,BvBmsy,FvFmsy,MSY,region,country
WAREHOUESE,Blue warehou Eastern half of Southeast Australia,2008,1.05117168110303,0.0854150869894623,966.6647399999999,Australia,Australia
WAREHOUWSE,Blue warehou Western half of Southeast Australia,2008,2.24965540196346,0.486025791883965,866.7822979000008,Australia,Australia
WHAKEGBGOM,White hake Gulf of Maine / Georges Bank,2016,0.687475765800698,0.358695652173913,4866.9999999999945,US East Coast,USA
WHITVIIbce-k,Whiting Celtic Sea,2011,2.22945714285714,0.5,21966.740088105747,European Union,France
WINDOWGOMGB,Windowpane flounder Gulf of Maine / Georges Bank,2007,0.172857142857143,3.92,699.9999999999987,US East Coast,USA
WINDOWSNEMATL,Windowpane flounder Southern New England /Mid Atlantic,2007,0.561764705882353,1.25850340136054,500.00000000000006,US East Coast,USA
WINFLOUN5Z,Winter flounder Georges Bank,2016,0.519210526315789,0.225000008221154,3499.999999999997,US East Coast,USA
WINFLOUNSNEMATL,Winter flounder Southern New England /Mid Atlantic,2010,0.162158448042876,0.205882350519031,7532,US East Coast,USA
WITFLOUN4RST,Witch flounder Gulf of St. Lawrence,2016,0.514865419847328,0.266414208333333,26199.999999999953,Canada East Coast,Canada
WITFLOUN5Y,Witch flounder Gulf of Maine,2014,0.219571413490974,2.46236559139785,2187.044701986758,US East Coast,USA
WLFLOUNNPAC,Willowy flounder North Pacific,2013,1.04291044776119,0.571493885015433,144.60482960000002,Japan,Japan
WMARLINATL,White marlin Atlantic Ocean,2010,0.322196412028058,0.718003009323296,1239.000000000001,Atlantic Ocean,Taiwan
WPOLLEBS,Walleye pollock Eastern Bering Sea,2014,1.19794736842105,0.352640545144804,1953299.999999999,US Alaska,USA
WPOLLNSO,Walleye pollock Northern Sea of Okhotsk,2010,0.994301434466496,0.685106382978724,966699.9999999983,Other,Russia
WROCKBCW,Widow rockfish British Columbia Waters,2018,1.50237610199376,0.658783783783784,1909.0000000000007,Canada West Coast,Canada
WROCKPCOAST,Widow rockfish Pacific Coast,2014,1.7253662918564,0.1144,7776,US West Coast,USA
YEGROUPGM,Yellowedge grouper Gulf of Mexico,2009,1.66597251145356,0.68,374.9999999999988,US Southeast and Gulf,USA
YELL3LNO,Yellowtail flounder Grand Banks,2014,1.76,0.24,18729.999999999996,Canada East Coast,Canada
YELLCCODGOM,Yellowtail flounder Cape Cod / Gulf of Maine,2016,0.256681034482759,1.1501831417569,1153.9999999999995,US East Coast,USA
YELLGB,Yellowtail flounder Georges Bank,2007,0.220601851851852,1.14173228346457,9255.384615384624,US East Coast,USA
YELLSNEMATL,Yellowtail flounder Southern New England /Mid Atlantic,2016,0.0817204301075269,3.20588231522491,540.9999999999994,US East Coast,USA
YEYEROCKPCOAST,Yelloweye rockfish Pacific Coast,2016,0.677406618057356,0.18786,108.99999999999999,US West Coast,USA
YFINATL,Yellowfin tuna Atlantic Ocean,2010,0.861,0.99,145938.88888888893,Atlantic Ocean,Spain
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,2012,1.24,0.728,550090.4024767812,Pacific Ocean,Japan
YFINEIO,Yellowfin tuna Indian Ocean,2015,0.891,1.11,422000,Indian Ocean,Spain
YFINEPAC,Yellowfin tuna Eastern Pacific,2016,0.928,0.916,274960.0000000001,Pacific Ocean,Mexico
YTROCKNPCOAST,Yellowtail rockfish Northern Pacific Coast,2016,1.91666666666667,0.2937,5434.459961000006,US West Coast,USA
